Layer Name,EPSG,x_min,y_min,x_max,y_max
govmap:layer_tamam_north,3857,35.0274971603157,32.3879757908577,35.8955090095657,33.3355432690976
govmap:layer_tamam_south,3857,34.2669954884767,29.4907636228116,35.4764058040305,31.8783200739949
govmap:layer_tamam_tlv,3857,34.7390463926378,31.9887147487609,34.8679925682913,32.194480866966
govmap:layer_tamat_districts_polygons,3857,34.2794761545512,29.4877578822597,35.8953835760389,33.3293523514165
govmap:layer_tamat_investor_informetion,3857,33.085931743659,26.7608214727041,37.0350832390124,36.0759563806505
govmap:layer_tatag,3857,34.5321569670727,31.1520713203616,35.6146237444503,33.243993723529
govmap:layer_tayarut,3857,33.4866574173678,26.6777909729386,36.777648856438,36.1126432105172
govmap:layer_taz_jer_pop_type,3857,34.8956321690192,31.4962458432894,35.4508050492152,32.0840937159645
govmap:layer_taz_job_dens_2030,3857,34.265637789827,29.4902607110112,35.8953317848316,33.3340719465502
govmap:layer_taz_mot_rate_2040,3857,34.265637789827,29.4902607110112,35.8953317848316,33.3340719465502
govmap:layer_taz_north_popdens_2016,3857,34.8684073589148,32.3721870670456,35.8954145226661,33.3341250104281
govmap:layer_taz_ta_popdens_2017,3857,34.6140719895511,31.7532849279327,35.0517117057135,32.4126055390165
govmap:layer_tazar,3857,34.2677166941469,29.4884999056799,35.852426151041,33.2898005607068
